slot_id,template_id,primary_keyword,secondary_keywords,region,intent,persona,modifier_1,modifier_2,entity_id,estimated_search_volume,competition_kd,priority_score,status,target_publish_date,assigned_to,internal_link_targets,title_pattern_seed,seo_objective,notes
T07_daa28b5f,T07,부산운전면허학원,,부산,비교추천,,,,,2800,40,83.96,planned,2026-05-29,,,부산 운전면허 비교추천 종합 가이드,검색 노출 / 클러스터: T07,
T07_361bec18,T07,부산운전면허학원,,부산,가이드총정리,,,,,2800,40,83.96,planned,2026-05-29,,,부산 운전면허 가이드총정리 종합 가이드,검색 노출 / 클러스터: T07,
T07_51cc3543,T07,부산운전면허학원,,부산,비용절약,,,,,2800,40,83.96,planned,2026-05-29,,,부산 운전면허 비용절약 종합 가이드,검색 노출 / 클러스터: T07,
T05_77e41390,T05,국제운전면허증 비용 절약,,,,직장인,2026,,,5400,30,73.88,planned,2026-05-29,,,국제운전면허증 비용 절약 전략 BEST 7 (직장인),검색 노출 / 클러스터: T05,
T05_241bc130,T05,국제운전면허증 비용 절약,,,,직장인,최단기,,,5400,30,73.88,planned,2026-05-29,,,국제운전면허증 비용 절약 전략 BEST 7 (직장인),검색 노출 / 클러스터: T05,
T05_9f62fc63,T05,국제운전면허증 비용 절약,,,,직장인,비용절약,,,5400,30,73.88,planned,2026-05-30,,,국제운전면허증 비용 절약 전략 BEST 7 (직장인),검색 노출 / 클러스터: T05,
T05_96c9eb52,T05,국제운전면허증 비용 절약,,,,직장인,친절강사,,,5400,30,73.88,planned,2026-05-30,,,국제운전면허증 비용 절약 전략 BEST 7 (직장인),검색 노출 / 클러스터: T05,
T05_91ab092f,T05,국제운전면허증 비용 절약,,,,직장인,셔틀편리,,,5400,30,73.88,planned,2026-05-30,,,국제운전면허증 비용 절약 전략 BEST 7 (직장인),검색 노출 / 클러스터: T05,
T05_af728332,T05,국제운전면허증 비용 절약,,,,직장인,야간반,,,5400,30,73.88,planned,2026-05-30,,,국제운전면허증 비용 절약 전략 BEST 7 (직장인),검색 노출 / 클러스터: T05,
T05_3f10d4c3,T05,국제운전면허증 비용 절약,,,,직장인,주말반,,,5400,30,73.88,planned,2026-05-30,,,국제운전면허증 비용 절약 전략 BEST 7 (직장인),검색 노출 / 클러스터: T05,
T03_77e41390,T03,국제운전면허증,,,,직장인,2026,,,5400,30,69.99,planned,2026-05-31,,,국제운전면허증 완벽 가이드 (직장인 기준),검색 노출 / 클러스터: T03,
T03_241bc130,T03,국제운전면허증,,,,직장인,최단기,,,5400,30,69.99,planned,2026-05-31,,,국제운전면허증 완벽 가이드 (직장인 기준),검색 노출 / 클러스터: T03,
T03_9f62fc63,T03,국제운전면허증,,,,직장인,비용절약,,,5400,30,69.99,planned,2026-05-31,,,국제운전면허증 완벽 가이드 (직장인 기준),검색 노출 / 클러스터: T03,
T03_96c9eb52,T03,국제운전면허증,,,,직장인,친절강사,,,5400,30,69.99,planned,2026-05-31,,,국제운전면허증 완벽 가이드 (직장인 기준),검색 노출 / 클러스터: T03,
T03_91ab092f,T03,국제운전면허증,,,,직장인,셔틀편리,,,5400,30,69.99,planned,2026-05-31,,,국제운전면허증 완벽 가이드 (직장인 기준),검색 노출 / 클러스터: T03,
